Carrier,DepTime,ArrTime,Price,Duration,Day,DepAirport,ArrAirport,DayAfter
Scandinavian Airlines,17:40,21:40,$159,5h 00m,2024-04-19,Amsterdam,London,False
KLM,20:30,20:55,$173,1h 25m,2024-04-19,Amsterdam,London,False
Scandinavian Airlines,17:40,21:40,$144,5h 00m,2024-04-19,Amsterdam,London,False
KLM,7:20,7:40,$184,1h 20m,2024-04-19,Amsterdam,London,False
British Airways,14:55,15:10,$197,1h 15m,2024-04-19,Amsterdam,London,False
British Airways,10:55,11:15,$200,1h 20m,2024-04-19,Amsterdam,London,False
Lufthansa,11:30,15:40,$213,5h 10m,2024-04-19,Amsterdam,London,False
Scandinavian Airlines,10:40,14:35,$259,4h 55m,2024-04-19,Amsterdam,London,False
Scandinavian Airlines,14:50,19:30,$310,5h 40m,2024-04-19,Amsterdam,London,False
SWISS,7:00,13:40,$295,7h 40m,2024-04-19,Amsterdam,London,False
"Air Dolomiti, Lufthansa",8:45,15:40,$297,7h 55m,2024-04-19,Amsterdam,London,False
SWISS,7:00,16:35,$320,10h 35m,2024-04-19,Amsterdam,London,False
SWISS,7:00,16:35,$320,10h 35m,2024-04-19,Amsterdam,London,False
SWISS,7:00,16:35,$320,10h 35m,2024-04-19,Amsterdam,London,False
SWISS,7:00,21:30,$247,15h 30m,2024-04-19,Amsterdam,London,False
Aer Lingus,9:25,13:05,$251,4h 40m,2024-06-19,Amsterdam,London,False
Scandinavian Airlines,10:40,14:35,$259,4h 55m,2024-06-19,Amsterdam,London,False
Lufthansa,15:40,19:40,$280,5h 00m,2024-06-19,Amsterdam,London,False
SWISS,9:50,13:00,$487,4h 10m,2024-06-19,Amsterdam,London,False
KLM,7:20,7:40,$122,1h 20m,2024-07-19,Amsterdam,London,False
British Airways,21:35,21:50,$94,1h 15m,2024-07-19,Amsterdam,London,False
KLM,19:05,19:25,$133,1h 20m,2024-07-19,Amsterdam,London,False
Scandinavian Airlines,17:40,21:40,$272,5h 00m,2024-07-19,Amsterdam,London,False
Scandinavian Airlines,10:40,14:35,$289,4h 55m,2024-07-19,Amsterdam,London,False
Austrian Airlines,17:40,21:40,$375,5h 00m,2024-07-19,Amsterdam,London,False
Scandinavian Airlines,11:00,17:00,$263,7h 00m,2024-07-19,Amsterdam,London,False
Lufthansa,15:40,20:40,$377,6h 00m,2024-07-19,Amsterdam,London,False
Lufthansa,14:40,20:45,$335,7h 05m,2024-07-19,Amsterdam,London,False
Air Malta,11:50,19:30,$311,8h 40m,2024-07-19,Amsterdam,London,False
Iberia,12:00,18:15,$485,7h 15m,2024-07-19,Amsterdam,London,False
