Carrier,DepTime,ArrTime,Price,Duration,Day,DepAirport,ArrAirport,DayAfter
"Air Europa, British Airways",15:30,21:45,$139,7h 15m,2024-04-19,Barcelona,London,False
Lufthansa,10:25,16:40,$164,7h 15m,2024-04-19,Barcelona,London,False
"Vueling, British Airways",15:45,21:45,$144,7h 00m,2024-04-19,Barcelona,London,False
TAP AIR PORTUGAL,11:25,17:45,$166,7h 20m,2024-04-19,Barcelona,London,False
CitizenPlane,18:30,19:45,$342,2h 15m,2024-04-19,Barcelona,London,False
"Vueling, Iberia",15:45,21:45,$145,7h 00m,2024-04-19,Barcelona,London,False
"Transavia France, Vueling",8:25,13:10,$217,5h 45m,2024-04-19,Barcelona,London,False
Iberia,14:30,19:20,$217,5h 50m,2024-04-19,Barcelona,London,False
Vueling,9:05,13:10,$237,5h 05m,2024-04-19,Barcelona,London,False
Eurowings,14:15,18:50,$243,5h 35m,2024-04-19,Barcelona,London,False
"Vueling, Aer Lingus",7:25,12:40,$177,6h 15m,2024-04-19,Barcelona,London,False
"Vueling, Iberia",12:55,19:50,$136,7h 55m,2024-04-19,Barcelona,London,False
"Vueling, Iberia",13:35,19:50,$156,7h 15m,2024-04-19,Barcelona,London,False
"Vueling, British Airways",12:55,19:50,$143,7h 55m,2024-04-19,Barcelona,London,False
Lufthansa,10:25,17:40,$164,8h 15m,2024-04-19,Barcelona,London,False
TAP AIR PORTUGAL,11:25,18:50,$167,8h 25m,2024-04-19,Barcelona,London,False
Scandinavian Airlines,12:25,18:30,$204,7h 05m,2024-04-19,Barcelona,London,False
"Vueling, British Airways",13:35,19:50,$162,7h 15m,2024-04-19,Barcelona,London,False
"Vueling, Aer Lingus",7:25,13:25,$171,7h 00m,2024-04-19,Barcelona,London,False
"Vueling, Eurowings",6:30,13:50,$162,8h 20m,2024-04-19,Barcelona,London,False
KLM,13:20,19:25,$211,7h 05m,2024-04-19,Barcelona,London,False
"Vueling, British Airways",13:40,19:15,$196,6h 35m,2024-04-19,Barcelona,London,False
Iberia,14:30,18:15,$283,4h 45m,2024-04-19,Barcelona,London,False
KLM,13:20,17:35,$267,5h 15m,2024-04-19,Barcelona,London,False
"Vueling, British Airways",14:10,17:50,$252,4h 40m,2024-04-19,Barcelona,London,False
"Vueling, British Airways",14:10,21:10,$164,8h 00m,2024-04-19,Barcelona,London,False
"Vueling, Eurowings",12:55,19:05,$215,7h 10m,2024-04-19,Barcelona,London,False
"Vueling, British Airways",13:40,21:45,$139,9h 05m,2024-04-19,Barcelona,London,False
Lufthansa,10:25,18:40,$164,9h 15m,2024-04-19,Barcelona,London,False
Iberia,9:45,16:20,$210,7h 35m,2024-04-19,Barcelona,London,False
Vueling,6:40,13:10,$216,7h 30m,2024-04-19,Barcelona,London,False
KLM,6:20,10:45,$276,5h 25m,2024-04-19,Barcelona,London,False
