Carrier,DepTime,ArrTime,Price,Duration,Day,DepAirport,ArrAirport,DayAfter
British Airways,19:30,20:50,$75,1h 20m,2024-04-19,Dublin,London,False
Aer Lingus,18:00,19:25,$67,1h 25m,2024-04-19,Dublin,London,False
Aer Lingus,20:15,21:35,$65,1h 20m,2024-04-19,Dublin,London,False
Aer Lingus,17:30,18:55,$76,1h 25m,2024-04-19,Dublin,London,False
Aer Lingus,7:30,9:05,$95,1h 35m,2024-04-19,Dublin,London,False
Aer Lingus,6:30,8:00,$95,1h 30m,2024-04-19,Dublin,London,False
Aer Lingus,15:55,17:20,$84,1h 25m,2024-04-19,Dublin,London,False
Aer Lingus,13:30,14:55,$84,1h 25m,2024-04-19,Dublin,London,False
Aer Lingus,14:30,15:55,$84,1h 25m,2024-04-19,Dublin,London,False
British Airways,8:10,9:35,$96,1h 25m,2024-04-19,Dublin,London,False
British Airways,19:30,20:50,$75,1h 20m,2024-04-19,Dublin,London,False
British Airways,18:00,19:25,$100,1h 25m,2024-04-19,Dublin,London,False
British Airways,17:30,18:55,$100,1h 25m,2024-04-19,Dublin,London,False
British Airways,18:30,19:50,$78,1h 20m,2024-04-19,Dublin,London,False
Aer Lingus,11:15,12:40,$105,1h 25m,2024-04-19,Dublin,London,False
Aer Lingus,12:00,13:25,$105,1h 25m,2024-04-19,Dublin,London,False
Aer Lingus,12:30,13:55,$105,1h 25m,2024-04-19,Dublin,London,False
Aer Lingus,19:00,20:20,$84,1h 20m,2024-04-19,Dublin,London,False
Aer Lingus,9:45,11:10,$116,1h 25m,2024-04-19,Dublin,London,False
British Airways,14:30,15:55,$116,1h 25m,2024-04-19,Dublin,London,False
British Airways,13:30,14:55,$116,1h 25m,2024-04-19,Dublin,London,False
British Airways,15:55,17:20,$116,1h 25m,2024-04-19,Dublin,London,False
British Airways,20:15,21:35,$100,1h 20m,2024-04-19,Dublin,London,False
British Airways,15:20,16:40,$103,1h 20m,2024-04-19,Dublin,London,False
British Airways,11:15,12:40,$127,1h 25m,2024-04-19,Dublin,London,False
British Airways,12:30,13:55,$127,1h 25m,2024-04-19,Dublin,London,False
British Airways,9:45,11:10,$127,1h 25m,2024-04-19,Dublin,London,False
British Airways,12:00,13:25,$127,1h 25m,2024-04-19,Dublin,London,False
British Airways,19:00,20:20,$116,1h 20m,2024-04-19,Dublin,London,False
Aer Lingus,19:30,20:50,$118,1h 20m,2024-04-19,Dublin,London,False
Aer Lingus,18:30,19:50,$118,1h 20m,2024-04-19,Dublin,London,False
Aer Lingus,15:20,16:40,$118,1h 20m,2024-04-19,Dublin,London,False
Aer Lingus,13:00,14:20,$118,1h 20m,2024-04-19,Dublin,London,False
Aer Lingus,8:55,10:20,$116,1h 25m,2024-04-19,Dublin,London,False
British Airways,13:00,14:20,$120,1h 20m,2024-04-19,Dublin,London,False
Aer Lingus,8:10,9:35,$118,1h 25m,2024-04-19,Dublin,London,False
British Airways,6:30,8:00,$116,1h 30m,2024-04-19,Dublin,London,False
British Airways,7:30,9:05,$116,1h 35m,2024-04-19,Dublin,London,False
British Airways,10:55,12:25,$163,1h 30m,2024-04-19,Dublin,London,False
KLM,11:10,16:15,$212,5h 05m,2024-04-19,Dublin,London,False
"Blue Islands, British Airways",15:00,20:30,$221,5h 30m,2024-04-19,Dublin,London,False
KLM,5:55,10:45,$232,4h 50m,2024-04-19,Dublin,London,False
"Aer Lingus, British Airways",6:15,11:15,$272,5h 00m,2024-04-19,Dublin,London,False
"Aer Lingus, British Airways",6:15,12:00,$272,5h 45m,2024-04-19,Dublin,London,False
British Airways,8:55,10:20,$441,1h 25m,2024-04-19,Dublin,London,False
Scandinavian Airlines,12:40,17:40,$312,5h 00m,2024-04-19,Dublin,London,False
Air France,6:05,10:30,$331,4h 25m,2024-04-19,Dublin,London,False
KLM,8:55,13:50,$376,4h 55m,2024-04-19,Dublin,London,False
Air France,9:10,13:45,$413,4h 35m,2024-04-19,Dublin,London,False
"Aer Lingus, British Airways",12:50,17:50,$409,5h 00m,2024-04-19,Dublin,London,False
Lufthansa,17:35,22:10,$479,4h 35m,2024-04-19,Dublin,London,False
Lufthansa,9:05,14:40,$479,5h 35m,2024-04-19,Dublin,London,False
SWISS,14:35,19:25,$483,4h 50m,2024-04-19,Dublin,London,False
SWISS,13:00,17:55,$488,4h 55m,2024-04-19,Dublin,London,False
Lufthansa,12:20,17:40,$491,5h 20m,2024-04-19,Dublin,London,False
British Airways,10:20,14:55,$548,4h 35m,2024-04-19,Dublin,London,False
British Airways,15:20,19:20,$572,4h 00m,2024-04-19,Dublin,London,False
British Airways,15:40,21:10,$506,5h 30m,2024-04-19,Dublin,London,False
British Airways,12:50,17:50,$538,5h 00m,2024-04-19,Dublin,London,False
British Airways,14:05,19:20,$572,5h 15m,2024-04-19,Dublin,London,False
British Airways,15:20,20:50,$534,5h 30m,2024-04-19,Dublin,London,False
KLM,13:20,17:35,$581,4h 15m,2024-04-19,Dublin,London,False
"Aer Lingus, British Airways",6:30,12:00,$631,5h 30m,2024-04-19,Dublin,London,False
Lufthansa,10:40,15:45,$712,5h 05m,2024-04-19,Dublin,London,False
Qatar Airways,11:15,12:40,"$1,170",1h 25m,2024-04-19,Dublin,London,False
Qatar Airways,9:45,11:10,"$1,216",1h 25m,2024-04-19,Dublin,London,False
Aer Lingus,19:35,20:55,$83,1h 20m,2024-05-19,Dublin,London,False
Aer Lingus,20:15,21:35,$83,1h 20m,2024-05-19,Dublin,London,False
Aer Lingus,6:30,8:00,$83,1h 30m,2024-05-19,Dublin,London,False
Aer Lingus,19:00,20:20,$96,1h 20m,2024-05-19,Dublin,London,False
Aer Lingus,7:30,9:05,$83,1h 35m,2024-05-19,Dublin,London,False
Aer Lingus,8:55,10:20,$105,1h 25m,2024-05-19,Dublin,London,False
British Airways,19:35,20:55,$117,1h 20m,2024-05-19,Dublin,London,False
British Airways,20:15,21:35,$117,1h 20m,2024-05-19,Dublin,London,False
Aer Lingus,11:15,12:40,$111,1h 25m,2024-05-19,Dublin,London,False
Aer Lingus,18:00,19:25,$116,1h 25m,2024-05-19,Dublin,London,False
British Airways,19:00,20:20,$127,1h 20m,2024-05-19,Dublin,London,False
British Airways,6:30,8:00,$117,1h 30m,2024-05-19,Dublin,London,False
British Airways,18:00,19:25,$127,1h 25m,2024-05-19,Dublin,London,False
Aer Lingus,14:30,15:55,$126,1h 25m,2024-05-19,Dublin,London,False
Aer Lingus,12:00,13:25,$126,1h 25m,2024-05-19,Dublin,London,False
British Airways,20:15,21:35,$117,1h 20m,2024-05-19,Dublin,London,False
British Airways,11:15,12:40,$138,1h 25m,2024-05-19,Dublin,London,False
British Airways,14:30,15:55,$138,1h 25m,2024-05-19,Dublin,London,False
British Airways,12:00,13:25,$138,1h 25m,2024-05-19,Dublin,London,False
British Airways,19:00,20:20,$127,1h 20m,2024-05-19,Dublin,London,False
British Airways,12:30,13:55,$144,1h 25m,2024-05-19,Dublin,London,False
British Airways,15:55,17:20,$144,1h 25m,2024-05-19,Dublin,London,False
British Airways,10:55,12:25,$173,1h 30m,2024-05-19,Dublin,London,False
Aer Lingus,15:55,17:20,$158,1h 25m,2024-05-19,Dublin,London,False
Aer Lingus,12:30,13:55,$158,1h 25m,2024-05-19,Dublin,London,False
British Airways,20:00,21:20,$191,1h 20m,2024-05-19,Dublin,London,False
