Carrier,DepTime,ArrTime,Price,Duration,Day,DepAirport,ArrAirport,DayAfter
KLM,17:55,20:55,$156,4h 00m,2024-05-19,Frankfurt,London,False
Lufthansa,21:30,22:10,$122,1h 40m,2024-05-19,Frankfurt,London,False
BlaBlaBus,12:00,7:05,$66,20h 05m,2024-05-19,Frankfurt,London,True
Lufthansa,18:00,18:40,$136,1h 40m,2024-05-19,Frankfurt,London,False
Lufthansa,17:00,17:40,$145,1h 40m,2024-05-19,Frankfurt,London,False
Lufthansa,20:00,20:40,$148,1h 40m,2024-05-19,Frankfurt,London,False
Lufthansa,16:00,16:40,$149,1h 40m,2024-05-19,Frankfurt,London,False
Lufthansa,15:00,15:40,$206,1h 40m,2024-05-19,Frankfurt,London,False
Lufthansa,14:00,14:40,$206,1h 40m,2024-05-19,Frankfurt,London,False
British Airways,19:45,20:25,$226,1h 40m,2024-05-19,Frankfurt,London,False
Lufthansa,7:00,7:40,$245,1h 40m,2024-05-19,Frankfurt,London,False
Lufthansa,10:00,10:40,$246,1h 40m,2024-05-19,Frankfurt,London,False
Lufthansa,9:00,9:40,$246,1h 40m,2024-05-19,Frankfurt,London,False
Lufthansa,12:00,12:40,$248,1h 40m,2024-05-19,Frankfurt,London,False
Lufthansa,8:00,8:40,$249,1h 40m,2024-05-19,Frankfurt,London,False
British Airways,14:40,15:25,$625,1h 45m,2024-05-19,Frankfurt,London,False
British Airways,6:40,7:25,$625,1h 45m,2024-05-19,Frankfurt,London,False
SWISS,12:55,16:35,$144,4h 40m,2024-05-19,Frankfurt,London,False
KLM,17:55,20:55,$156,4h 00m,2024-05-19,Frankfurt,London,False
SWISS,12:55,18:30,$137,6h 35m,2024-05-19,Frankfurt,London,False
SWISS,17:40,21:30,$170,4h 50m,2024-05-19,Frankfurt,London,False
Austrian Airlines,18:10,21:40,$222,4h 30m,2024-05-19,Frankfurt,London,False
Lufthansa,17:15,20:45,$201,4h 30m,2024-05-19,Frankfurt,London,False
"Regiojet, British Airways",5:55,10:55,$150,6h 00m,2024-05-19,Frankfurt,London,False
Austrian Airlines,17:20,21:40,$222,5h 20m,2024-05-19,Frankfurt,London,False
"Lufthansa, Eurowings",9:00,11:30,$253,3h 30m,2024-05-19,Frankfurt,London,False
Brussels Airlines,13:00,17:05,$219,5h 05m,2024-05-19,Frankfurt,London,False
Lufthansa,16:15,20:45,$234,5h 30m,2024-05-19,Frankfurt,London,False
