Carrier,DepTime,ArrTime,Price,Duration,Day,DepAirport,ArrAirport,DayAfter
Turkish Airlines,18:45,20:50,$177,4h 05m,2024-04-19,Istanbul,London,False
Turkish Airlines,18:45,20:50,$166,4h 05m,2024-04-19,Istanbul,London,False
Turkish Airlines,14:55,16:50,$166,3h 55m,2024-04-19,Istanbul,London,False
Turkish Airlines,20:20,22:25,$166,4h 05m,2024-04-19,Istanbul,London,False
Turkish Airlines,14:05,16:15,$262,4h 10m,2024-04-19,Istanbul,London,False
Turkish Airlines,7:50,9:50,$221,4h 00m,2024-04-19,Istanbul,London,False
British Airways,17:40,19:40,$280,4h 00m,2024-04-19,Istanbul,London,False
British Airways,8:30,10:35,$363,4h 05m,2024-04-19,Istanbul,London,False
British Airways,20:25,22:25,$321,4h 00m,2024-04-19,Istanbul,London,False
Turkish Airlines,13:10,15:05,$375,3h 55m,2024-04-19,Istanbul,London,False
Air Serbia,4:10,12:30,$167,10h 20m,2024-04-19,Istanbul,London,False
Aegean Airlines,10:40,17:55,$196,9h 15m,2024-04-19,Istanbul,London,False
Air Serbia,7:45,12:30,$273,6h 45m,2024-04-19,Istanbul,London,False
TAROM,6:50,14:05,$225,9h 15m,2024-04-19,Istanbul,London,False
Aegean Airlines,10:40,15:30,$321,6h 50m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, Eurowings",9:45,14:05,$283,6h 20m,2024-04-19,Istanbul,London,False
TAROM,6:50,14:05,$225,9h 15m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, British Airways",12:10,16:10,$288,6h 00m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, British Airways",17:40,22:35,$248,6h 55m,2024-04-19,Istanbul,London,False
"Ajet, Eurowings",8:25,14:05,$245,7h 40m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, Eurowings",13:45,19:05,$268,7h 20m,2024-04-19,Istanbul,London,False
KLM,17:00,20:55,$391,5h 55m,2024-04-19,Istanbul,London,False
"Aegean Airlines, British Airways",10:40,15:25,$305,6h 45m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, British Airways",15:35,20:45,$293,7h 10m,2024-04-19,Istanbul,London,False
"Turkish Airlines, Air Serbia",7:45,12:30,$311,6h 45m,2024-04-19,Istanbul,London,False
"Turkish Airlines, British Airways",11:30,15:20,$353,5h 50m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, Lufthansa",11:20,16:40,$291,7h 20m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, Eurowings",13:45,18:50,$321,7h 05m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, Eurowings",10:25,14:10,$379,5h 45m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, Lufthansa",14:20,20:40,$264,8h 20m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, British Airways",15:35,21:45,$275,8h 10m,2024-04-19,Istanbul,London,False
"Turkish Airlines, British Airways",7:45,14:20,$259,8h 35m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, Scandinavian Airlines",10:35,16:25,$295,7h 50m,2024-04-19,Istanbul,London,False
Aegean Airlines,15:50,21:10,$405,7h 20m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, Lufthansa",11:20,17:40,$277,8h 20m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, Scandinavian Airlines",12:35,17:40,$339,7h 05m,2024-04-19,Istanbul,London,False
"Ajet, Lufthansa",10:20,15:40,$333,7h 20m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, Scandinavian Airlines",10:35,18:30,$222,9h 55m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, Lufthansa",11:20,18:40,$248,9h 20m,2024-04-19,Istanbul,London,False
"Air Serbia, Lufthansa",15:40,22:10,$275,8h 30m,2024-04-19,Istanbul,London,False
"Turkish Airlines, British Airways",11:45,16:10,$375,6h 25m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, Austrian Airlines",16:30,21:40,$335,7h 10m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, Lufthansa",10:15,16:40,$281,8h 25m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, Lufthansa",14:20,22:10,$236,9h 50m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, Brussels Airlines",14:00,21:35,$254,9h 35m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, SWISS",11:00,16:35,$342,7h 35m,2024-04-19,Istanbul,London,False
"Turkish Airlines, TAROM",6:50,14:05,$272,9h 15m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, British Airways",12:05,20:25,$235,10h 20m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, British Airways",13:45,22:35,$219,10h 50m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, Eurowings",23:50,8:10,$206,10h 20m,2024-04-19,Istanbul,London,True
"Turkish Airlines, Croatia Airlines",11:30,19:15,$270,9h 45m,2024-04-19,Istanbul,London,False
"Turkish Airlines, Eurowings",15:00,18:50,$434,5h 50m,2024-04-19,Istanbul,London,False
Multiple airlines,23:45,8:10,$218,10h 25m,2024-04-19,Istanbul,London,True
Multiple airlines,12:00,20:50,$214,10h 50m,2024-04-19,Istanbul,London,False
Aegean Airlines,1:40,11:15,$262,11h 35m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, Austrian Airlines",00:35,8:20,$247,9h 45m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, Scandinavian Airlines",11:20,19:30,$271,10h 10m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, British Airways",11:00,15:55,$425,6h 55m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, Eurowings",22:10,8:10,$192,12h 00m,2024-04-19,Istanbul,London,True
Multiple airlines,12:00,21:35,$208,11h 35m,2024-04-19,Istanbul,London,False
Lufthansa,17:55,22:10,$529,6h 15m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, Eurowings",9:55,16:25,$395,8h 30m,2024-04-19,Istanbul,London,False
Multiple airlines,12:15,21:10,$250,10h 55m,2024-04-19,Istanbul,London,False
Multiple airlines,12:15,21:10,$255,10h 55m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, Eurowings",20:40,8:10,$189,13h 30m,2024-04-19,Istanbul,London,True
MEA,13:00,20:35,$449,9h 35m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, British Airways",12:05,22:35,$232,12h 30m,2024-04-19,Istanbul,London,False
Multiple airlines,20:40,8:10,$190,13h 30m,2024-04-19,Istanbul,London,True
"Turkish Airlines, Lufthansa",8:05,15:40,$370,9h 35m,2024-04-19,Istanbul,London,False
Multiple airlines,00:40,8:25,$323,9h 45m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, Lufthansa",11:20,22:10,$232,12h 50m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, British Airways",10:25,15:10,$494,6h 45m,2024-04-19,Istanbul,London,False
Multiple airlines,20:00,8:10,$176,14h 10m,2024-04-19,Istanbul,London,True
Multiple airlines,23:55,10:05,$220,12h 10m,2024-04-19,Istanbul,London,True
Aegean Airlines,7:30,15:30,$442,10h 00m,2024-04-19,Istanbul,London,False
KLM,8:50,13:50,$544,7h 00m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, Eurowings",20:00,8:10,$189,14h 10m,2024-04-19,Istanbul,London,True
Aegean Airlines,10:40,21:10,$344,12h 30m,2024-04-19,Istanbul,London,False
Multiple airlines,10:40,21:10,$239,12h 30m,2024-04-19,Istanbul,London,False
LOT,13:55,22:00,$465,10h 05m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, British Airways",23:50,10:55,$215,13h 05m,2024-04-19,Istanbul,London,True
"Pegasus Airlines, Vueling",10:55,19:45,$374,10h 50m,2024-04-19,Istanbul,London,False
Aegean Airlines,7:30,17:55,$375,12h 25m,2024-04-19,Istanbul,London,False
LOT,7:05,17:20,$395,12h 15m,2024-04-19,Istanbul,London,False
"AnadoluJet, Lufthansa",9:10,14:10,$538,7h 00m,2024-04-19,Istanbul,London,False
"Turkish Airlines, Lufthansa",6:20,15:40,$345,11h 20m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, British Airways",22:15,10:05,$216,13h 50m,2024-04-19,Istanbul,London,True
Aegean Airlines,13:15,21:10,$509,9h 55m,2024-04-19,Istanbul,London,False
KLM,12:40,19:25,$544,8h 45m,2024-04-19,Istanbul,London,False
"Pegasus Airlines, British Airways",8:15,20:45,$234,14h 30m,2024-04-19,Istanbul,London,False
Multiple airlines,8:10,20:50,$208,14h 40m,2024-04-19,Istanbul,London,False
Turkish Airlines,14:05,16:15,$186,4h 10m,2024-07-19,Istanbul,London,False
Turkish Airlines,14:05,16:15,$175,4h 10m,2024-07-19,Istanbul,London,False
Aegean Airlines,5:30,17:55,$117,14h 25m,2024-07-19,Istanbul,London,False
Turkish Airlines,18:45,20:50,$175,4h 05m,2024-07-19,Istanbul,London,False
Turkish Airlines,7:50,9:50,$175,4h 00m,2024-07-19,Istanbul,London,False
Turkish Airlines,20:20,22:25,$175,4h 05m,2024-07-19,Istanbul,London,False
Turkish Airlines,14:55,16:50,$175,3h 55m,2024-07-19,Istanbul,London,False
Turkish Airlines,13:10,15:05,$175,3h 55m,2024-07-19,Istanbul,London,False
British Airways,14:40,16:50,$248,4h 10m,2024-07-19,Istanbul,London,False
British Airways,17:40,19:40,$211,4h 00m,2024-07-19,Istanbul,London,False
British Airways,20:25,22:25,$218,4h 00m,2024-07-19,Istanbul,London,False
British Airways,8:30,10:35,$253,4h 05m,2024-07-19,Istanbul,London,False
Aegean Airlines,15:50,21:10,$144,7h 20m,2024-07-19,Istanbul,London,False
KLM,17:00,20:55,$181,5h 55m,2024-07-19,Istanbul,London,False
Aegean Airlines,10:40,17:55,$144,9h 15m,2024-07-19,Istanbul,London,False
Aegean Airlines,5:30,11:15,$179,7h 45m,2024-07-19,Istanbul,London,False
Aegean Airlines,10:40,15:30,$222,6h 50m,2024-07-19,Istanbul,London,False
Aegean Airlines,10:40,15:30,$222,6h 50m,2024-07-19,Istanbul,London,False
Aegean Airlines,5:30,11:15,$179,7h 45m,2024-07-19,Istanbul,London,False
"Turkish Airlines, British Airways",16:05,20:50,$211,6h 45m,2024-07-19,Istanbul,London,False
Aegean Airlines,13:15,17:55,$245,6h 40m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, Eurowings",9:45,14:05,$213,6h 20m,2024-07-19,Istanbul,London,False
LOT,17:35,22:00,$285,6h 25m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, Lufthansa",16:50,22:40,$242,7h 50m,2024-07-19,Istanbul,London,False
"Wizz Air, LOT",10:50,17:20,$220,8h 30m,2024-07-19,Istanbul,London,False
KLM,12:40,17:35,$338,6h 55m,2024-07-19,Istanbul,London,False
"Turkish Airlines, Lufthansa",3:55,8:40,$333,6h 45m,2024-07-19,Istanbul,London,False
KLM,12:40,19:25,$338,8h 45m,2024-07-19,Istanbul,London,False
KLM,12:40,20:55,$338,10h 15m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, Vueling",10:55,19:45,$315,10h 50m,2024-07-19,Istanbul,London,False
KLM,8:50,17:35,$338,10h 45m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, Eurowings",13:45,18:50,$228,7h 05m,2024-07-19,Istanbul,London,False
"Turkish Airlines, British Airways",16:05,20:50,$211,6h 45m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, Lufthansa",13:20,19:40,$198,8h 20m,2024-07-19,Istanbul,London,False
"Wizz Air, LOT",10:50,17:20,$220,8h 30m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, British Airways",10:25,21:10,$164,12h 45m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, Eurowings",9:55,16:25,$230,8h 30m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, British Airways",14:20,19:50,$219,7h 30m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, Eurowings",11:15,18:05,$228,8h 50m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, Lufthansa",9:40,19:40,$181,12h 00m,2024-07-19,Istanbul,London,False
LOT,17:35,22:00,$285,6h 25m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, British Airways",10:25,17:50,$210,9h 25m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, Lufthansa",14:05,22:10,$204,10h 05m,2024-07-19,Istanbul,London,False
Aegean Airlines,5:30,15:30,$222,12h 00m,2024-07-19,Istanbul,London,False
"Air Serbia, British Airways",10:25,14:20,$256,5h 55m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, Brussels Airlines",9:45,17:05,$224,9h 20m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, British Airways",11:20,18:25,$230,9h 05m,2024-07-19,Istanbul,London,False
Aegean Airlines,7:30,17:55,$245,12h 25m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, Lufthansa",16:50,22:40,$242,7h 50m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, Lufthansa",9:40,15:45,$242,8h 05m,2024-07-19,Istanbul,London,False
"Turkish Airlines, Lufthansa",11:55,19:40,$233,9h 45m,2024-07-19,Istanbul,London,False
"AnadoluJet, Eurowings",8:25,14:05,$279,7h 40m,2024-07-19,Istanbul,London,False
"Turkish Airlines, Eurowings",11:35,19:05,$234,9h 30m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, Lufthansa",9:40,17:05,$245,9h 25m,2024-07-19,Istanbul,London,False
"Turkish Airlines, Eurowings",15:00,18:50,$275,5h 50m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, Lufthansa",11:20,16:40,$271,7h 20m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, Lufthansa",13:20,18:25,$277,7h 05m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, Lufthansa",13:20,20:45,$255,9h 25m,2024-07-19,Istanbul,London,False
"Turkish Airlines, Lufthansa",16:30,20:45,$288,6h 15m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, Lufthansa",11:20,17:40,$271,8h 20m,2024-07-19,Istanbul,London,False
"Transavia, Eurostar",14:45,22:00,$291,9h 15m,2024-07-19,Istanbul,London,False
Aegean Airlines,7:30,21:10,$245,15h 40m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, Lufthansa",11:20,18:40,$271,9h 20m,2024-07-19,Istanbul,London,False
LOT,7:05,17:20,$286,12h 15m,2024-07-19,Istanbul,London,False
"Wizz Air, British Airways",10:50,16:40,$285,7h 50m,2024-07-19,Istanbul,London,False
Multiple airlines,00:40,8:25,$288,9h 45m,2024-07-19,Istanbul,London,False
Aegean Airlines,1:40,11:15,$296,11h 35m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, British Airways",22:10,10:55,$232,14h 45m,2024-07-19,Istanbul,London,True
KLM,12:40,17:35,$338,6h 55m,2024-07-19,Istanbul,London,False
"Ajet, Eurowings",19:30,8:25,$268,14h 55m,2024-07-19,Istanbul,London,True
"Wizz Air, British Airways",10:50,14:40,$331,5h 50m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, Vueling",10:55,19:45,$315,10h 50m,2024-07-19,Istanbul,London,False
"Ajet, Air Serbia",23:10,12:30,$271,15h 20m,2024-07-19,Istanbul,London,True
KLM,12:40,19:25,$338,8h 45m,2024-07-19,Istanbul,London,False
Air Serbia,7:45,12:30,$386,6h 45m,2024-07-19,Istanbul,London,False
"Turkish Airlines, British Airways",10:25,14:20,$351,5h 55m,2024-07-19,Istanbul,London,False
"Turkish Airlines, Lufthansa",3:55,8:40,$333,6h 45m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, Eurowings",10:25,14:10,$380,5h 45m,2024-07-19,Istanbul,London,False
Multiple airlines,23:45,8:25,$323,10h 40m,2024-07-19,Istanbul,London,True
Lufthansa,14:00,17:40,$377,5h 40m,2024-07-19,Istanbul,London,False
KLM,12:40,20:55,$338,10h 15m,2024-07-19,Istanbul,London,False
"Pegasus Airlines, British Airways",23:50,10:55,$281,13h 05m,2024-07-19,Istanbul,London,True
Lufthansa,14:00,18:40,$377,6h 40m,2024-07-19,Istanbul,London,False
KLM,8:50,17:35,$338,10h 45m,2024-07-19,Istanbul,London,False
"Turkish Airlines, Air Serbia",23:55,12:30,$274,14h 35m,2024-07-19,Istanbul,London,True
Lufthansa,14:00,20:40,$370,8h 40m,2024-07-19,Istanbul,London,False
"Turkish Airlines, Eurowings",20:30,8:25,$288,13h 55m,2024-07-19,Istanbul,London,True
"Pegasus Airlines, Eurowings",22:10,8:10,$329,12h 00m,2024-07-19,Istanbul,London,True
Multiple airlines,23:55,8:25,$324,10h 30m,2024-07-19,Istanbul,London,True
Aegean Airlines,7:20,17:55,$368,12h 35m,2024-07-19,Istanbul,London,False
Lufthansa,14:00,22:10,$370,10h 10m,2024-07-19,Istanbul,London,False
British Airways,16:15,18:25,$90,4h 10m,2024-10-19,Istanbul,London,False
British Airways,8:30,10:35,$104,4h 05m,2024-10-19,Istanbul,London,False
British Airways,20:05,22:05,$125,4h 00m,2024-10-19,Istanbul,London,False
Turkish Airlines,18:45,20:50,$166,4h 05m,2024-10-19,Istanbul,London,False
Turkish Airlines,20:20,22:25,$166,4h 05m,2024-10-19,Istanbul,London,False
Turkish Airlines,14:55,16:50,$166,3h 55m,2024-10-19,Istanbul,London,False
Turkish Airlines,13:10,15:05,$166,3h 55m,2024-10-19,Istanbul,London,False
Turkish Airlines,13:50,16:00,$166,4h 10m,2024-10-19,Istanbul,London,False
Turkish Airlines,10:15,12:20,$166,4h 05m,2024-10-19,Istanbul,London,False
