Day,DepAirport,ArrAirport,Carrier,DepTime,ArrTime,Price,Duration,DayAfter
2024-04-19,London,Paris,Lufthansa,20:25,8:20,$106,10h 55m,True
2024-04-19,London,Paris,Air France,6:15,8:35,$138,1h 20m,False
2024-04-19,London,Paris,Lufthansa,20:25,8:20,$106,10h 55m,True
2024-04-19,London,Paris,Air France,19:45,22:00,$165,1h 15m,False
2024-04-19,London,Paris,British Airways,6:55,9:15,$152,1h 20m,False
2024-04-19,London,Paris,Air France,17:35,19:55,$166,1h 20m,False
2024-04-19,London,Paris,British Airways,19:10,21:30,$181,1h 20m,False
2024-04-19,London,Paris,British Airways,20:55,23:15,$191,1h 20m,False
2024-04-19,London,Paris,British Airways,17:10,19:30,$208,1h 20m,False
2024-04-19,London,Paris,Air France,15:20,17:40,$226,1h 20m,False
2024-04-19,London,Paris,KLM,6:30,10:50,$309,3h 20m,False
2024-04-19,London,Paris,Scandinavian Airlines,9:55,15:40,$370,4h 45m,False
2024-04-19,London,Paris,"British Airways, easyJet",6:45,14:50,$121,7h 05m,False
2024-04-19,London,Paris,"British Airways, easyJet",6:45,16:25,$123,8h 40m,False
2024-04-19,London,Paris,SWISS,7:00,14:15,$451,6h 15m,False
2024-04-19,London,Paris,SWISS,7:00,14:15,$451,6h 15m,False
2024-04-19,London,Paris,Lufthansa,9:00,17:45,$251,7h 45m,False
2024-04-19,London,Paris,Eurowings,14:50,20:10,$392,4h 20m,False
2024-04-19,London,Paris,Aer Lingus,6:45,12:40,$314,4h 55m,False
2024-04-19,London,Paris,Scandinavian Airlines,9:55,15:40,$370,4h 45m,False
2024-04-19,London,Paris,Lufthansa,17:50,23:30,$391,4h 40m,False
2024-04-19,London,Paris,Aer Lingus,15:10,21:10,$312,5h 00m,False
2024-04-19,London,Paris,SWISS,8:40,14:15,$380,4h 35m,False
2024-04-19,London,Paris,Air France,8:55,16:10,$187,6h 15m,False
2024-04-19,London,Paris,Lufthansa,13:45,19:45,$382,5h 00m,False
2024-04-19,London,Paris,"British Airways, easyJet",6:45,13:50,$207,6h 05m,False
2024-04-19,London,Paris,Aer Lingus,14:20,21:10,$296,5h 50m,False
2024-04-19,London,Paris,"British Airways, easyJet",6:45,14:50,$121,7h 05m,False
2024-04-19,London,Paris,Lufthansa,13:30,18:35,$529,4h 05m,False
2024-04-19,London,Paris,SWISS,8:55,15:55,$318,6h 00m,False
2024-04-19,London,Paris,"British Airways, Aer Lingus",14:20,21:10,$349,5h 50m,False
2024-06-19,London,Paris,British Airways,18:30,20:50,$105,1h 20m,False
2024-06-19,London,Paris,British Airways,20:45,23:05,$105,1h 20m,False
2024-06-19,London,Paris,British Airways,6:40,9:00,$105,1h 20m,False
2024-06-19,London,Paris,British Airways,17:20,19:40,$141,1h 20m,False
2024-06-19,London,Paris,British Airways,11:10,13:30,$141,1h 20m,False
2024-06-19,London,Paris,British Airways,15:10,17:30,$185,1h 20m,False
2024-06-19,London,Paris,British Airways,13:30,15:50,$185,1h 20m,False
2024-06-19,London,Paris,British Airways,8:40,11:00,$185,1h 20m,False
2024-06-19,London,Paris,Eurowings,14:50,20:10,$146,4h 20m,False
2024-06-19,London,Paris,Iberia,17:10,23:45,$126,5h 35m,False
2024-06-19,London,Paris,Austrian Airlines,9:05,15:05,$186,5h 00m,False
2024-06-19,London,Paris,SWISS,8:40,14:15,$225,4h 35m,False
2024-06-19,London,Paris,SWISS,17:10,22:55,$228,4h 45m,False
2024-06-19,London,Paris,Iberia,16:30,23:45,$190,6h 15m,False
2024-06-19,London,Paris,Iberia,15:50,23:45,$161,6h 55m,False
2024-06-19,London,Paris,KLM,6:30,10:50,$210,3h 20m,False
2024-06-19,London,Paris,Eurowings,14:50,20:10,$146,4h 20m,False
2024-06-19,London,Paris,Air France,8:55,14:30,$150,4h 35m,False
2024-06-19,London,Paris,"British Airways, Aer Lingus",15:30,21:10,$158,4h 40m,False
2024-06-19,London,Paris,Aer Lingus,15:10,21:10,$161,5h 00m,False
2024-06-19,London,Paris,SWISS,8:40,14:15,$225,4h 35m,False
2024-06-19,London,Paris,SWISS,17:10,22:55,$228,4h 45m,False
2024-06-19,London,Paris,Iberia,17:10,23:45,$126,5h 35m,False
2024-06-19,London,Paris,Lufthansa,17:50,23:30,$241,4h 40m,False
2024-06-19,London,Paris,"British Airways, easyJet",7:00,13:45,$119,5h 45m,False
