Carrier,DepTime,ArrTime,Price,Duration,Day,DepAirport,ArrAirport,DayAfter
KLM,6:00,10:45,$273,5h 45m,2024-04-19,Madrid,London,False
Iberia,8:00,9:30,$206,2h 30m,2024-04-19,Madrid,London,False
Multiple airlines,7:05,14:15,$107,8h 10m,2024-04-19,Madrid,London,False
Iberia,7:00,8:25,$223,2h 25m,2024-04-19,Madrid,London,False
British Airways,7:00,8:25,$222,2h 25m,2024-04-19,Madrid,London,False
British Airways,8:00,9:30,$222,2h 30m,2024-04-19,Madrid,London,False
Iberia,20:50,22:10,$249,2h 20m,2024-04-19,Madrid,London,False
Iberia,20:00,21:20,$249,2h 20m,2024-04-19,Madrid,London,False
Iberia,15:45,17:15,$249,2h 30m,2024-04-19,Madrid,London,False
British Airways,20:00,21:20,$266,2h 20m,2024-04-19,Madrid,London,False
British Airways,20:50,22:10,$266,2h 20m,2024-04-19,Madrid,London,False
British Airways,15:45,17:15,$266,2h 30m,2024-04-19,Madrid,London,False
Iberia,17:55,19:20,$347,2h 25m,2024-04-19,Madrid,London,False
British Airways,9:10,10:35,$346,2h 25m,2024-04-19,Madrid,London,False
British Airways,14:55,16:20,$346,2h 25m,2024-04-19,Madrid,London,False
British Airways,17:55,19:20,$346,2h 25m,2024-04-19,Madrid,London,False
Iberia,9:10,10:35,$347,2h 25m,2024-04-19,Madrid,London,False
Iberia,14:55,16:20,$347,2h 25m,2024-04-19,Madrid,London,False
British Airways,16:50,18:15,$367,2h 25m,2024-04-19,Madrid,London,False
Iberia,16:50,18:15,$375,2h 25m,2024-04-19,Madrid,London,False
Iberia,17:20,18:40,$410,2h 20m,2024-04-19,Madrid,London,False
Iberia,10:40,12:00,$417,2h 20m,2024-04-19,Madrid,London,False
British Airways,12:10,13:30,$478,2h 20m,2024-04-19,Madrid,London,False
Iberia,12:10,13:30,$487,2h 20m,2024-04-19,Madrid,London,False
"Iberia Express, Iberia",15:40,19:50,$175,5h 10m,2024-04-19,Madrid,London,False
"Air Europa, Vueling",15:10,19:45,$167,5h 35m,2024-04-19,Madrid,London,False
Iberia,15:40,19:50,$178,5h 10m,2024-04-19,Madrid,London,False
"Iberia Express, British Airways",15:40,19:50,$182,5h 10m,2024-04-19,Madrid,London,False
Brussels Airlines,6:20,10:15,$259,4h 55m,2024-04-19,Madrid,London,False
TAP AIR PORTUGAL,17:55,22:55,$244,6h 00m,2024-04-19,Madrid,London,False
"Iberia, British Airways",15:40,19:50,$185,5h 10m,2024-04-19,Madrid,London,False
"Vueling, British Airways",17:20,21:50,$200,5h 30m,2024-04-19,Madrid,London,False
Brussels Airlines,12:40,17:05,$259,5h 25m,2024-04-19,Madrid,London,False
TAP AIR PORTUGAL,6:35,11:00,$283,5h 25m,2024-04-19,Madrid,London,False
