Carrier,DepTime,ArrTime,Price,Duration,Day,DepAirport,ArrAirport,DayAfter
Lufthansa,21:40,22:40,$119,2h 00m,2024-04-19,Munich,London,False
BlaBlaBus,23:30,21:40,$87,23h 10m,2024-04-19,Munich,London,True
British Airways,20:20,21:20,$162,2h 00m,2024-04-19,Munich,London,False
British Airways,12:50,13:50,$221,2h 00m,2024-04-19,Munich,London,False
British Airways,7:25,8:35,$226,2h 10m,2024-04-19,Munich,London,False
Lufthansa,19:45,20:45,$285,2h 00m,2024-04-19,Munich,London,False
British Airways,10:55,12:05,$297,2h 10m,2024-04-19,Munich,London,False
Lufthansa,16:05,17:05,$323,2h 00m,2024-04-19,Munich,London,False
Lufthansa,17:25,18:25,$323,2h 00m,2024-04-19,Munich,London,False
Lufthansa,18:40,19:40,$323,2h 00m,2024-04-19,Munich,London,False
British Airways,16:35,17:35,$342,2h 00m,2024-04-19,Munich,London,False
Lufthansa,11:50,12:50,$388,2h 00m,2024-04-19,Munich,London,False
Lufthansa,14:45,15:45,$389,2h 00m,2024-04-19,Munich,London,False
Lufthansa,8:55,9:55,$411,2h 00m,2024-04-19,Munich,London,False
Lufthansa,7:15,8:15,$479,2h 00m,2024-04-19,Munich,London,False
Brussels Airlines,14:30,17:05,$200,3h 35m,2024-04-19,Munich,London,False
Lufthansa,11:50,12:50,$388,2h 00m,2024-04-19,Munich,London,False
Lufthansa,8:55,9:55,$411,2h 00m,2024-04-19,Munich,London,False
Lufthansa,14:00,17:40,$204,4h 40m,2024-04-19,Munich,London,False
Scandinavian Airlines,18:20,21:40,$278,4h 20m,2024-04-19,Munich,London,False
Lufthansa,7:15,8:15,$479,2h 00m,2024-04-19,Munich,London,False
KLM,17:50,20:55,$346,4h 05m,2024-04-19,Munich,London,False
KLM,7:00,10:45,$325,4h 45m,2024-04-19,Munich,London,False
Lufthansa,16:00,22:10,$277,7h 10m,2024-04-19,Munich,London,False
KLM,11:50,16:15,$458,5h 25m,2024-04-19,Munich,London,False
KLM,7:00,13:50,$315,7h 50m,2024-04-19,Munich,London,False
Iberia,12:10,18:15,$476,7h 05m,2024-04-19,Munich,London,False
Iberia,12:10,18:40,$476,7h 30m,2024-04-19,Munich,London,False
KLM,9:25,13:50,$668,5h 25m,2024-04-19,Munich,London,False
KLM,9:25,16:15,$556,7h 50m,2024-04-19,Munich,London,False
SWISS,21:00,8:15,$219,12h 15m,2024-04-19,Munich,London,True
KLM,11:50,17:35,$797,6h 45m,2024-04-19,Munich,London,False
Austrian Airlines,19:25,9:20,$237,14h 55m,2024-04-19,Munich,London,True
LOT,22:15,9:20,$571,12h 05m,2024-04-19,Munich,London,True
SWISS,21:00,19:25,$166,23h 25m,2024-04-19,Munich,London,True
Austrian Airlines,21:40,21:40,$137,25h 00m,2024-04-19,Munich,London,True
United Airlines,15:45,10:10,"$5,797",19h 25m,2024-04-19,Munich,London,True
United Airlines,16:10,10:40,"$5,847",19h 30m,2024-04-19,Munich,London,True
SWISS,15:30,19:25,$364,4h 55m,2024-05-19,Munich,London,False
Air France,18:10,21:25,$428,4h 15m,2024-05-19,Munich,London,False
SWISS,11:50,16:20,$328,5h 30m,2024-05-19,Munich,London,False
British Airways,16:50,17:50,$618,2h 00m,2024-05-19,Munich,London,False
Lufthansa,12:00,14:40,$475,3h 40m,2024-05-19,Munich,London,False
KLM,11:50,16:15,$343,5h 25m,2024-05-19,Munich,London,False
"Lufthansa, Eurowings",15:15,18:05,$418,3h 50m,2024-05-19,Munich,London,False
Lufthansa,14:00,18:40,$338,5h 40m,2024-05-19,Munich,London,False
Lufthansa,11:00,15:40,$338,5h 40m,2024-05-19,Munich,London,False
"Lufthansa, Scandinavian Airlines",17:10,21:40,$322,5h 30m,2024-05-19,Munich,London,False
Brussels Airlines,14:30,20:55,$217,7h 25m,2024-05-19,Munich,London,False
Lufthansa,7:30,11:30,$404,5h 00m,2024-05-19,Munich,London,False
Scandinavian Airlines,16:20,21:40,$305,6h 20m,2024-05-19,Munich,London,False
KLM,7:00,10:45,$430,4h 45m,2024-05-19,Munich,London,False
Lufthansa,10:00,15:40,$284,6h 40m,2024-05-19,Munich,London,False
Lufthansa,9:00,14:40,$284,6h 40m,2024-05-19,Munich,London,False
"Lufthansa, Eurowings",13:30,18:50,$252,6h 20m,2024-05-19,Munich,London,False
"Lufthansa, Eurowings",15:15,18:45,$411,4h 30m,2024-05-19,Munich,London,False
Brussels Airlines,10:55,17:05,$265,7h 10m,2024-05-19,Munich,London,False
SWISS,7:50,11:25,$471,4h 35m,2024-05-19,Munich,London,False
Lufthansa,17:00,20:40,$470,4h 40m,2024-05-19,Munich,London,False
KLM,14:05,19:30,$334,6h 25m,2024-05-19,Munich,London,False
SWISS,7:50,13:00,$356,6h 10m,2024-05-19,Munich,London,False
