Carrier,DepTime,ArrTime,Price,Duration,Day,DepAirport,ArrAirport,DayAfter
KLM,10:20,16:15,$249,6h 55m,2024-04-19,Rome,London,False
Eurowings,14:10,18:45,$311,5h 35m,2024-04-19,Rome,London,False
"ITA Airways, British Airways",13:15,16:40,$312,4h 25m,2024-04-19,Rome,London,False
Aegean Airlines,9:30,17:55,$222,9h 25m,2024-04-19,Rome,London,False
Lufthansa,10:05,15:40,$280,6h 35m,2024-04-19,Rome,London,False
Lufthansa,13:20,17:40,$318,5h 20m,2024-04-19,Rome,London,False
"easyJet, British Airways",8:45,12:40,$291,4h 55m,2024-04-19,Rome,London,False
"Trenitalia, TUI Airways",7:00,13:10,$227,7h 10m,2024-04-19,Rome,London,False
TAP AIR PORTUGAL,13:40,22:05,$205,9h 25m,2024-04-19,Rome,London,False
"Wizz Air Malta, Vueling",6:10,13:10,$237,8h 00m,2024-04-19,Rome,London,False
Vueling,6:45,13:10,$255,7h 25m,2024-04-19,Rome,London,False
Eurowings,10:45,16:25,$306,6h 40m,2024-04-19,Rome,London,False
"Wizz Air Malta, British Airways",13:05,22:40,$134,10h 35m,2024-04-19,Rome,London,False
"Vueling, British Airways",14:00,22:40,$161,9h 40m,2024-04-19,Rome,London,False
"Wizz Air Malta, Scandinavian Airlines",11:40,19:30,$183,8h 50m,2024-04-19,Rome,London,False
KLM,12:40,19:25,$268,7h 45m,2024-04-19,Rome,London,False
"Vueling, Iberia",14:00,22:40,$176,9h 40m,2024-04-19,Rome,London,False
Brussels Airlines,10:15,17:05,$270,7h 50m,2024-04-19,Rome,London,False
Lufthansa,10:05,16:40,$280,7h 35m,2024-04-19,Rome,London,False
"Wizz Air Malta, Iberia",13:05,22:40,$150,10h 35m,2024-04-19,Rome,London,False
Lufthansa,13:20,18:40,$323,6h 20m,2024-04-19,Rome,London,False
"easyJet, British Airways",12:55,22:45,$146,10h 50m,2024-04-19,Rome,London,False
"Brussels Airlines, British Airways",10:15,15:15,$329,6h 00m,2024-04-19,Rome,London,False
Lufthansa,19:05,22:40,$382,4h 35m,2024-04-19,Rome,London,False
Iberia,14:00,19:45,$319,6h 45m,2024-04-19,Rome,London,False
Iberia,16:05,22:40,$300,7h 35m,2024-04-19,Rome,London,False
"easyJet, Scandinavian Airlines",12:55,21:20,$206,9h 25m,2024-04-19,Rome,London,False
Air France,6:00,10:30,$374,5h 30m,2024-04-19,Rome,London,False
Lufthansa,10:05,17:40,$280,8h 35m,2024-04-19,Rome,London,False
"ITA Airways, Scandinavian Airlines",9:15,18:30,$199,10h 15m,2024-04-19,Rome,London,False
"SWISS, Aer Lingus",9:40,18:55,$199,10h 15m,2024-04-19,Rome,London,False
Eurowings,9:55,18:05,$281,9h 10m,2024-04-19,Rome,London,False
Eurowings,10:45,18:50,$294,9h 05m,2024-04-19,Rome,London,False
Iberia,16:15,22:10,$340,6h 55m,2024-04-19,Rome,London,False
"Iberia, British Airways",16:05,21:50,$349,6h 45m,2024-04-19,Rome,London,False
"Wizz Air Malta, Scandinavian Airlines",11:40,21:20,$188,10h 40m,2024-04-19,Rome,London,False
"Iberia, British Airways",7:00,14:35,$295,8h 35m,2024-04-19,Rome,London,False
